subject,n_windows,accuracy,macro_f1
9,288,0.6354166666666666,0.6128543805750936
10,294,0.6530612244897959,0.6426862263752507
2,302,0.8708609271523179,0.8443184303956924
12,320,0.91875,0.9111502532555164
20,354,0.9378531073446328,0.9393865677390583
4,317,0.9400630914826499,0.935685028126782
13,327,0.9510703363914373,0.9481731084466327
18,364,0.9587912087912088,0.9590793550918785
24,381,1.0,1.0
