model,acc_6feat,f1_6feat,acc_561feat,f1_561feat
LogisticRegression,0.7869019341703427,0.7850561386615981,0.9562266711910418,0.9557414704655088
RandomForest,0.7427892772310825,0.7402050133227854,0.9287410926365796,0.9270135651136432
SVM_RBF,0.7865626060400407,0.7838026901459133,0.9541907024092298,0.9532663313587092
